Sensors & Software Inc - Pavement Density Profiler,
Line Name,Line1
Date,"18/06/2020, 16:05:56"
Application Version,V1 R3 921
Unit Serial Number,E001-0000-0003
Height (cm),50
Maximum Density (g/cm^3),2.38
A,1.08
B,-0.211
C,0.0063
Collection Mode,Profile
Trigger Mode,Free
Free Run Interval (s),0.10000000000000001
Step Size (m),
Odometer Calibration,
Line Description,test1

































Trace Number,Position (m),Reflection Coefficient,K_r,Bulk Density (g/cm^3),Relative Density (%),Air Void Content (%),Time of Day (seconds after midnight),Status,Flag,Latitude (deg),Longitude (deg),Elevation (m),Easting,Northing,UTM Zone
1,,-0.086226,1.356585,0.463256,19.46,80.54,57958.513986999998,0,0,,,,,,
2,,-0.077621,1.315037,0.444056,18.66,81.34,57958.543915000002,0,0,,,,,,
3,,-0.095721,1.404206,0.485199,20.39,79.61,57958.563387000002,0,0,,,,,,
4,,-0.091609,1.383346,0.475596,19.98,80.02,57958.811365000001,0,0,,,,,,
5,,-0.093445,1.392614,0.479864,20.16,79.84,57958.824270999998,0,0,,,,,,
6,,-0.092095,1.385796,0.476724,20.03,79.97,57959.131784999998,0,0,,,,,,
7,,-0.092594,1.388310,0.477882,20.08,79.92,57959.154702,0,0,,,,,,
8,,-0.093451,1.392645,0.479878,20.16,79.84,57959.170560999999,0,0,,,,,,
9,,-0.092414,1.387400,0.477463,20.06,79.94,57959.435391999999,0,0,,,,,,
10,,-0.093006,1.390392,0.478841,20.12,79.88,57959.532202000002,0,0,,,,,,
11,,-0.091779,1.384205,0.475991,20.00,80.00,57959.548952999998,0,0,,,,,,
12,,-0.092438,1.387525,0.477521,20.06,79.94,57959.736663000003,0,0,,,,,,
13,,-0.091720,1.383907,0.475854,19.99,80.01,57959.749342000003,0,0,,,,,,
14,,-0.091326,1.381927,0.474942,19.96,80.04,57959.772721000001,0,0,,,,,,
15,,-0.092809,1.389397,0.478382,20.10,79.90,57960.049493999999,0,0,,,,,,
16,,-0.092387,1.387264,0.477400,20.06,79.94,57960.074379999998,0,0,,,,,,
17,,-0.091522,1.382912,0.475396,19.97,80.03,57960.087896999998,0,0,,,,,,
18,,-0.094232,1.396612,0.481705,20.24,79.76,57960.250766999998,0,0,,,,,,
19,,-0.092261,1.386631,0.477109,20.05,79.95,57960.264083000002,0,0,,,,,,
20,,-0.093267,1.391714,0.479450,20.14,79.86,57960.289820999998,0,0,,,,,,
21,,-0.093467,1.392726,0.479915,20.16,79.84,57960.610527999997,0,0,,,,,,
22,,-0.092741,1.389055,0.478225,20.09,79.91,57960.623497,0,0,,,,,,
